MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-11-20,831.47,961.35,2093.23,314.4,411.7,201.55
2018-11-21,1146.77,1043.43,2766.01,314.4,573.55,313.25
2018-11-22,3310.8,1251.57,6581.08,314.4,985.25,589.2
2018-11-23,1377.46,1170.46,3244.08,314.4,817.0,489.6
2018-11-24,838.54,1069.43,2243.09,314.4,641.55,372.05
2018-11-25,572.87,795.19,1499.96,314.4,506.8,286.8
2018-11-26,968.28,979.81,2311.81,314.4,435.75,216.4
2018-11-27,866.36,936.51,2180.84,314.4,415.85,240.65
2018-11-28,345.81,521.04,923.26,314.4,300.1,138.15
2018-11-29,327.62,436.76,801.24,314.4,313.23,151.1
2018-11-30,514.83,742.72,1445.35,314.4,355.38,151.3
2018-12-01,356.28,591.26,1013.25,314.4,256.15,164.15
2018-12-02,399.39,445.24,891.55,314.4,155.52,118.1
2018-12-03,640.96,798.98,1624.4,314.4,324.1,170.7
2018-12-04,1139.46,1209.86,2955.89,314.4,408.4,209.55
2018-12-05,582.54,833.44,1647.4,314.4,280.55,165.2
2018-12-06,538.42,703.83,1402.88,314.4,363.65,174.0
2018-12-07,569.12,660.95,1387.4,314.4,231.2,115.15
2018-12-08,559.03,658.03,1340.6,314.4,338.12,173.9
2018-12-09,557.61,760.16,1429.07,314.4,246.18,182.55
2018-12-10,1351.92,1317.26,3285.68,235.7,386.12,223.73
2018-12-11,1494.94,1142.54,3510.15,197.2,605.45,430.3
2018-12-12,661.39,1063.49,1932.96,698.6,465.85,314.65
2018-12-13,1092.9,1219.18,2733.18,259.6,575.22,405.1
2018-12-14,1169.24,1188.27,2880.42,198.6,713.9,511.15
2018-12-15,434.58,712.49,1200.9,792.2,482.98,395.55
2018-12-16,399.49,762.24,1243.35,1302.3,275.32,136.55
2018-12-17,877.38,1062.66,2289.36,1023.2,341.88,178.1
2018-12-18,335.87,526.58,863.88,1429.4,305.95,162.1
