MeasurementDateGMT,London Teddington Bushy Park : PM10 Particulate (ug/m3),London Teddington Bushy Park : PM2.5 Particulate (ug/m3)
2020-10-11,150.20000000000002,102.00000000000001
2020-10-12,180.29999999999998,128.4
2020-10-13,203.00000000000003,122.8
2020-10-14,246.79999999999993,149.59999999999997
2020-10-15,188.9,98.10000000000001
2020-10-16,245.20000000000005,138.39999999999998
2020-10-17,255.6,186.09999999999997
2020-10-18,342.09999999999997,267.8
2020-10-19,329.7,236.19999999999996
2020-10-20,429.30000000000007,247.20000000000005
2020-10-21,202.0,108.3
2020-10-22,211.9,111.20000000000002
2020-10-23,175.69999999999996,100.30000000000001
2020-10-24,178.89999999999998,92.90000000000002
2020-10-25,162.10000000000002,80.0
2020-10-26,236.9,126.49999999999999
2020-10-27,212.20000000000002,112.9
2020-10-28,258.90000000000003,133.39999999999998
2020-10-29,237.69999999999996,135.99999999999997
2020-10-30,147.0,83.20000000000002
2020-10-31,284.5,167.29999999999998
2020-11-01,271.5,153.69999999999996
2020-11-02,213.3,116.1
2020-11-03,232.80000000000004,129.0
2020-11-04,364.99999999999994,282.5
2020-11-05,882.7,831.6000000000001
2020-11-06,1367.8999999999999,1232.4
2020-11-07,880.8999999999999,740.6
2020-11-08,990.3999999999997,884.0
2020-11-09,325.6000000000001,242.7
2020-11-10,241.49999999999994,146.89999999999998
2020-11-11,201.79999999999995,122.30000000000001
2020-11-12,262.20000000000005,132.6
2020-11-13,258.09999999999997,155.40000000000003
2020-11-14,286.6,190.5
2020-11-15,178.09999999999997,97.3
2020-11-16,237.89999999999998,132.5
2020-11-17,228.3,128.8
2020-11-18,282.4,165.79999999999998
2020-11-19,207.60000000000005,130.3
2020-11-20,201.3,161.60000000000002
2020-11-21,170.70000000000005,102.7
2020-11-22,223.70000000000005,165.89999999999998
2020-11-23,303.79999999999995,241.0
2020-11-24,234.2,150.60000000000002
2020-11-25,360.90000000000003,271.9
2020-11-26,502.9000000000001,363.40000000000003
2020-11-27,688.7,585.8000000000002
2020-11-28,995.3999999999996,897.5999999999998
2020-11-29,730.5,678.9000000000001
2020-11-30,339.7000000000001,296.59999999999997
2020-12-01,291.2,169.4
2020-12-02,429.2,337.79999999999995
2020-12-03,190.2,143.6
2020-12-04,226.70000000000002,171.8
2020-12-05,249.29999999999998,161.7
2020-12-06,430.3,387.5
2020-12-07,484.0,418.7
2020-12-08,452.59999999999997,411.9000000000001
2020-12-09,294.79999999999995,204.7
2020-12-10,307.0,200.29999999999998
2020-12-11,223.2,150.0
2020-12-12,244.9,188.8
2020-12-13,149.40000000000003,106.10000000000004
2020-12-14,250.10000000000005,143.20000000000005
2020-12-15,240.5,124.89999999999999
2020-12-16,232.89999999999995,137.3
2020-12-17,230.99999999999994,123.7
2020-12-18,182.8,121.2
2020-12-19,266.20000000000005,157.4
2020-12-20,202.4,113.5
2020-12-21,88.8,50.59999999999999
2020-12-22,173.70000000000002,123.79999999999998
2020-12-23,130.8,71.0
2020-12-24,140.7,89.50000000000001
2020-12-25,226.69999999999996,173.89999999999998
2020-12-26,108.50000000000003,79.10000000000001
2020-12-27,184.80000000000004,126.79999999999998
2020-12-28,293.5,261.6
2020-12-29,336.20000000000005,308.6
