MeasurementDateGMT,Croydon - Norbury Manor: PM2.5 Particulate (ug/m3)
2020-12-26,65.0
2020-12-27,143.0
2020-12-28,297.0
2020-12-29,383.0
2020-12-30,386.0
2020-12-31,544.0
2021-01-01,625.0
2021-01-02,223.0
2021-01-03,221.0
2021-01-04,137.0
2021-01-05,150.0
2021-01-06,184.0
2021-01-07,444.0
2021-01-08,585.0
2021-01-09,586.0
2021-01-10,383.0
2021-01-11,151.0
2021-01-12,124.0
2021-01-13,208.0
2021-01-14,124.5
2021-01-15,438.0
2021-01-16,218.0
2021-01-17,196.0
2021-01-18,164.0
2021-01-19,78.0
2021-01-20,159.0
2021-01-21,124.0
2021-01-22,163.0
2021-01-23,279.0
2021-01-24,308.0
2021-01-25,290.0
2021-01-26,222.0
2021-01-27,187.0
2021-01-28,131.0
2021-01-29,154.0
2021-01-30,174.0
2021-01-31,264.0
2021-02-01,358.0
2021-02-02,223.0
2021-02-03,210.0
2021-02-04,169.0
2021-02-05,140.0
2021-02-06,245.0
2021-02-07,232.0
2021-02-08,203.0
2021-02-09,152.0
2021-02-10,158.0
2021-02-11,366.0
2021-02-12,370.0
2021-02-13,331.0
2021-02-14,289.62804878048775
2021-02-15,303.1463414634146
2021-02-16,313.68292682926824
2021-02-17,324.219512195122
2021-02-18,334.7560975609756
2021-02-19,345.29268292682923
2021-02-20,354.7743902439024
2021-02-21,324.5
2021-02-22,362.7142857142857
2021-02-23,195.28571428571428
2021-02-24,191.5
2021-02-25,244.0
2021-02-26,400.0
2021-02-27,582.0
2021-02-28,474.0
2021-03-01,736.0
2021-03-02,955.0
2021-03-03,916.0
2021-03-04,354.0
2021-03-05,144.0
2021-03-06,248.0
2021-03-07,572.0
2021-03-08,687.0
2021-03-09,390.0
2021-03-10,311.0
2021-03-11,195.0
2021-03-12,153.0
2021-03-13,128.0
2021-03-14,130.0
2021-03-15,229.0
2021-03-16,211.0
2021-03-17,293.0
2021-03-18,286.0
2021-03-19,160.0
2021-03-20,282.0
2021-03-21,251.0
2021-03-22,375.0
