MeasurementDateGMT,Camden - Bloomsbury: Nitric Oxide (ug/m3),Camden - Bloomsbury: Nitrogen Dioxide (ug/m3),Camden - Bloomsbury: Oxides of Nitrogen (ug/m3),Camden - Bloomsbury: Ozone (ug/m3),Camden - Bloomsbury: PM10 Particulate (ug/m3),Camden - Bloomsbury: PM2.5 Particulate (ug/m3),Camden - Bloomsbury: Sulphur Dioxide (ug/m3)
2019-03-16,23.400000000000002,224.40000000000003,260.5,1741.5000000000002,231.4,114.59999999999997,17.9
2019-03-17,173.29999999999998,859.7,1125.6000000000001,1236.7000000000007,121.7,72.0,16.7
2019-03-18,321.7,1303.2,1796.4999999999995,736.5999999999998,282.6,137.6,16.0
2019-03-19,115.3,851.1999999999999,1028.1,726.9,388.59999999999997,274.7,14.1
2019-03-20,104.6,757.3999999999999,917.6999999999999,1023.1999999999999,287.1,197.5,19.899999999999995
2019-03-21,208.4,834.7,1154.6,612.6,341.5,243.1,19.400000000000002
2019-03-22,57.99999999999999,563.7,652.5,976.8000000000002,379.0999999999999,284.7,15.699999999999998
2019-03-23,275.80000000000007,1047.5,1470.1000000000001,737.9999999999998,510.0,302.6,33.0
2019-03-24,183.80000000000004,1004.1999999999999,1286.1000000000001,991.5999999999998,454.50000000000006,248.2,34.8
2019-03-25,211.00000000000003,914.9000000000001,1238.2,1158.4,381.8,169.7,33.599999999999994
2019-03-26,360.59999999999997,1389.7000000000003,1942.9000000000005,709.9999999999999,601.0999999999999,317.50000000000006,22.973869346733665
2019-03-27,252.7,1137.6000000000001,1525.3000000000002,877.3,417.2,241.7,19.003015075376887
2019-03-28,158.60000000000002,1111.1,1354.3,1016.4000000000001,621.0000000000001,403.6000000000001,18.810050251256285
2019-03-29,406.0,1243.2,1865.7,867.2000000000002,971.8,695.7,18.617085427135677
2019-03-30,824.8999999999999,1401.5,2666.2000000000003,808.1000000000001,1351.8,1055.3,18.424120603015076
2019-03-31,97.10000000000001,587.2,736.2,1470.8999999999999,736.0000000000003,497.70000000000016,18.23115577889447
2019-04-01,203.9,895.4,1208.5,1105.8000000000002,521.9000000000001,242.9,18.03819095477387
2019-04-02,222.79999999999995,1099.8,1441.2999999999997,763.3,621.8,413.8999999999999,17.845226130653266
2019-04-03,254.00000000000003,1103.0000000000005,1492.2,872.5000000000001,376.6,261.69999999999993,17.652261306532665
2019-04-04,94.79999999999998,689.0999999999999,834.8000000000001,1351.6000000000001,268.5,152.50000000000003,17.459296482412064
2019-04-05,153.4,855.5,1090.9,1262.1999999999998,457.4000000000001,287.6,17.266331658291456
2019-04-06,129.99999999999997,682.9,882.3999999999999,1202.8000000000002,518.7999999999998,351.9,17.073366834170855
2019-04-07,203.8,709.1,1022.0,697.7999999999998,1227.9999999999998,990.5,16.88040201005025
2019-04-08,334.80000000000007,1140.6,1653.8999999999999,663.7999999999998,1204.6000000000001,951.3999999999997,16.687437185929646
2019-04-09,231.99999999999997,893.5,1248.8000000000002,970.6999999999998,1012.8000000000002,729.5000000000001,16.494472361809045
2019-04-10,163.6,612.5999999999999,863.3000000000001,1401.7,446.1000000000001,247.29999999999998,16.30150753768844
2019-04-11,154.10000000000002,810.8999999999999,1047.4,1351.7999999999995,391.8,239.40000000000003,16.10854271356784
2019-04-12,164.1,867.6999999999998,1120.0000000000002,1269.4999999999998,440.50000000000006,297.09999999999997,15.915577889447235
2019-04-13,119.79999999999998,689.6,873.4,1399.3000000000002,382.7,275.8,15.72261306532663
2019-04-14,99.99999999999999,695.0999999999998,849.0999999999999,1418.4000000000003,537.6,419.3,15.52964824120603
2019-04-15,242.3,1116.3,1488.2,870.1999999999999,976.2000000000002,778.0,15.336683417085426
2019-04-16,402.49999999999994,1424.9000000000003,2042.1,439.0999999999999,1441.4999999999998,1079.8999999999999,15.143718592964822
2019-04-17,270.8999999999999,1286.3999999999999,1701.5000000000005,740.8999999999999,1579.2999999999997,1169.3000000000002,14.95075376884422
2019-04-18,294.5,1231.3999999999999,1682.6000000000001,934.8000000000002,1456.8000000000002,1116.4999999999998,14.75778894472362
2019-04-19,106.19999999999999,1087.6999999999998,1250.2000000000003,1414.6000000000001,989.8000000000001,703.5,14.564824120603014
